hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_weekdays_nights,adults,children,babies,meal,city,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status
Resort Hotel,0,18,2017,September,27,1,0,4,2,1.0,0,Dinner,Kota Batu,Online TA,TA/TO,0,0,0,1,No Deposit,241.0,,0,Personal,154.77,0,1,Check-Out
Resort Hotel,0,37,2017,September,27,1,0,4,2,0.0,0,Breakfast,Kota Denpasar,Online TA,TA/TO,0,0,0,0,No Deposit,241.0,,0,Personal,94.71,0,0,Check-Out
Resort Hotel,0,68,2017,September,27,1,0,4,2,0.0,0,Breakfast,Kota Malang,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,,0,Personal,97.0,0,3,Check-Out
Resort Hotel,0,37,2017,September,27,1,0,4,2,0.0,0,Breakfast,Kota Denpasar,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,8.0,,0,Contract,97.5,0,0,Check-Out
Resort Hotel,0,12,2017,September,27,1,0,1,2,0.0,0,Breakfast,Kota Malang,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,,0,Personal,88.2,0,0,Check-Out
Resort Hotel,0,0,2017,September,27,1,0,1,2,0.0,0,Breakfast,Kota Yogyakarta,Corporate,Corporate,0,0,0,0,No Deposit,,110.0,0,Personal,107.42,0,0,Check-Out
Resort Hotel,0,7,2017,September,27,1,0,4,2,0.0,0,Breakfast,Kabupaten Bangka,Direct,Direct,0,0,0,0,No Deposit,250.0,,0,Personal,153.0,0,1,Check-Out
Resort Hotel,0,37,2017,September,27,1,1,4,1,0.0,0,Breakfast,Kabupaten Bangka,Online TA,TA/TO,0,0,0,0,No Deposit,241.0,,0,Personal,97.29,0,1,Check-Out
Resort Hotel,0,72,2017,September,27,1,2,4,2,0.0,0,Breakfast,Kota Denpasar,Direct,Direct,0,0,0,1,No Deposit,250.0,,0,Personal,84.67,0,1,Check-Out
Resort Hotel,0,72,2017,September,27,1,2,4,2,0.0,0,Breakfast,Kota Denpasar,Direct,Direct,0,0,0,1,No Deposit,250.0,,0,Personal,84.67,0,1,Check-Out
Resort Hotel,0,72,2017,September,27,1,2,4,2,0.0,0,Breakfast,Kota Denpasar,Direct,Direct,0,0,0,1,No Deposit,250.0,,0,Personal,99.67,0,1,Check-Out
Resort Hotel,0,127,2017,September,27,1,2,5,2,0.0,0,Dinner,Kabupaten Bangka,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,115.0,,0,Contract,94.95,0,1,Check-Out
Resort Hotel,0,78,2017,September,27,1,2,5,2,0.0,0,Breakfast,Kota Denpasar,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,5.0,,0,Personal,63.6,1,0,Check-Out
Resort Hotel,0,48,2017,September,27,1,2,5,2,0.0,0,Breakfast,Kota Malang,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,8.0,,0,Contract,79.5,0,0,Check-Out
Resort Hotel,1,60,2017,September,27,1,2,5,2,0.0,0,Breakfast,Kota Denpasar,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,,0,Personal,107.0,0,2,Canceled
Resort Hotel,0,77,2017,September,27,1,2,5,2,0.0,0,Breakfast,Kota Denpasar,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,,0,Personal,94.0,0,0,Check-Out
Resort Hotel,0,99,2017,September,27,1,2,5,2,0.0,0,Breakfast,Kota Denpasar,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,,0,Personal,87.3,1,1,Check-Out
Resort Hotel,0,118,2017,September,27,1,4,10,1,0.0,0,Breakfast,,Direct,Direct,0,0,0,2,No Deposit,,,0,Personal,62.0,0,2,Check-Out
Resort Hotel,0,95,2017,September,27,1,4,11,2,0.0,0,Breakfast,Kabupaten Bangka,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,241.0,,0,Personal,63.86,0,0,Check-Out
Resort Hotel,1,96,2017,September,27,1,2,8,2,0.0,0,Breakfast,Kota Denpasar,Direct,Direct,0,0,0,0,No Deposit,,,0,Personal,108.3,0,2,Canceled
Resort Hotel,0,69,2017,September,27,2,2,4,2,0.0,0,Breakfast,Kota Malang,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,175.0,,0,Personal,65.5,0,0,Check-Out
Resort Hotel,1,45,2017,September,27,2,1,3,3,0.0,0,Breakfast,Kota Denpasar,Online TA,TA/TO,0,0,0,0,No Deposit,241.0,,0,Personal,108.8,0,1,Canceled
Resort Hotel,1,40,2017,September,27,2,1,3,3,0.0,0,Breakfast,Kota Denpasar,Online TA,TA/TO,0,0,0,0,No Deposit,241.0,,0,Personal,108.8,0,1,Canceled
Resort Hotel,0,15,2017,September,27,2,1,3,2,0.0,0,Breakfast,Kota Batu,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,,0,Personal,98.0,0,0,Check-Out
Resort Hotel,0,36,2017,September,27,2,1,3,3,0.0,0,Breakfast,Kota Denpasar,Online TA,TA/TO,0,0,0,0,No Deposit,241.0,,0,Personal,108.8,0,1,Check-Out
Resort Hotel,1,43,2017,September,27,2,1,3,3,0.0,0,Breakfast,Kota Denpasar,Online TA,TA/TO,0,0,0,0,No Deposit,241.0,,0,Personal,108.8,0,0,Canceled
Resort Hotel,0,70,2017,September,27,2,2,3,2,0.0,0,Dinner,Kabupaten Tangerang,Direct,Direct,0,0,0,0,No Deposit,250.0,,0,Personal,137.0,0,1,Check-Out
Resort Hotel,1,45,2017,September,27,2,2,3,2,0.0,0,Breakfast,Kota Denpasar,Online TA,TA/TO,0,0,0,0,No Deposit,241.0,,0,Personal,117.81,0,0,Canceled
Resort Hotel,0,45,2017,September,27,2,2,3,2,0.0,0,Breakfast,Kota Malang,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,8.0,,0,Contract,79.5,0,0,Check-Out
Resort Hotel,0,16,2017,September,27,2,2,3,2,0.0,0,Breakfast,Kota Batu,Direct,Direct,0,0,0,0,No Deposit,,,0,Personal,123.0,0,0,Check-Out
Resort Hotel,0,70,2017,September,27,2,2,3,2,0.0,0,Dinner,Kabupaten Tangerang,Direct,Direct,0,0,0,0,No Deposit,250.0,,0,Personal,137.0,0,1,Check-Out
Resort Hotel,0,107,2017,September,27,2,2,5,2,0.0,0,Breakfast,Kota Denpasar,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,,0,Personal,110.7,0,2,Check-Out
Resort Hotel,1,47,2017,September,27,2,2,5,2,2.0,0,Breakfast,Kota Denpasar,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,,0,Personal,153.0,0,0,Canceled
Resort Hotel,0,96,2017,September,27,2,2,5,2,0.0,0,Breakfast,Kota Batu,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,134.0,,0,Personal,58.95,0,1,Check-Out
Resort Hotel,0,113,2017,September,27,2,2,5,2,0.0,0,Breakfast,Kota Semarang,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,156.0,,0,Family,82.88,0,2,Check-Out
Resort Hotel,0,90,2017,September,27,2,2,5,2,0.0,0,Dinner,Kabupaten Bangka,Offline TA/TO,TA/TO,0,0,0,1,No Deposit,243.0,,0,Contract,82.35,0,0,Check-Out
Resort Hotel,0,50,2017,September,27,2,2,5,2,0.0,0,Dinner,Kota Malang,Online TA,TA/TO,0,0,0,1,No Deposit,241.0,,0,Personal,119.35,0,1,Check-Out
Resort Hotel,0,113,2017,September,27,2,2,5,2,0.0,0,Breakfast,Kota Semarang,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,156.0,,0,Family,67.58,0,2,Check-Out
Resort Hotel,0,93,2017,September,27,2,3,8,2,0.0,0,Breakfast,Kota Malang,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,156.0,,0,Contract,56.01,0,0,Check-Out
Resort Hotel,0,76,2017,September,27,2,4,10,2,0.0,0,Breakfast,Kota Serang,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,243.0,,0,Contract,110.7,0,0,Check-Out
Resort Hotel,0,3,2017,September,27,2,0,1,2,0.0,0,Breakfast,Kota Batu,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,,0,Personal,88.2,1,0,Check-Out
Resort Hotel,0,1,2017,September,27,2,0,1,2,0.0,0,Breakfast,Kota Tangerang,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,,0,Personal,147.0,1,0,Check-Out
Resort Hotel,0,1,2017,September,27,2,0,1,2,2.0,0,Breakfast,Kota Batu,Direct,Direct,0,0,0,0,No Deposit,,,0,Personal,107.0,1,2,Check-Out
Resort Hotel,0,0,2017,September,27,2,0,1,2,0.0,0,Breakfast,Kota Denpasar,Direct,Direct,0,0,0,0,No Deposit,,,0,Personal,147.0,0,0,Check-Out
Resort Hotel,0,0,2017,September,27,2,0,1,2,0.0,0,Breakfast,Kota Denpasar,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,,0,Personal,117.9,0,2,Check-Out
Resort Hotel,0,0,2017,September,27,2,0,1,2,0.0,0,Breakfast,Kota Denpasar,Direct,Direct,0,0,0,0,No Deposit,,,0,Personal,123.0,0,0,Check-Out
Resort Hotel,0,14,2017,September,27,2,0,2,2,0.0,0,Breakfast,Kabupaten Sleman,Online TA,TA/TO,0,0,0,0,No Deposit,242.0,,0,Personal,98.0,0,1,Check-Out
Resort Hotel,0,10,2017,September,27,2,0,2,2,0.0,0,Breakfast,Kota Denpasar,Online TA,TA/TO,0,0,0,0,No Deposit,241.0,,0,Personal,117.81,0,0,Check-Out
Resort Hotel,0,5,2017,September,27,2,0,2,2,0.0,0,Breakfast,Kota Malang,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,,0,Personal,135.0,1,2,Check-Out
Resort Hotel,0,17,2017,September,27,2,0,3,2,0.0,0,Breakfast,Kota Batu,Direct,Direct,0,0,0,0,No Deposit,250.0,,0,Personal,133.0,0,1,Check-Out
Resort Hotel,0,93,2017,September,27,2,0,3,2,0.0,0,Breakfast,Kota Malang,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,115.0,,0,Contract,58.95,0,0,Check-Out
Resort Hotel,1,3,2017,September,27,2,0,3,2,0.0,0,Dinner,Kota Denpasar,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,,0,Personal,136.33,0,2,Canceled
Resort Hotel,0,10,2017,September,27,3,0,2,2,2.0,0,Breakfast,Kabupaten Sleman,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,,0,Personal,153.0,1,0,Check-Out
Resort Hotel,0,3,2017,September,27,3,0,2,2,0.0,0,Breakfast,Kota Batu,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,,0,Personal,110.5,0,0,Check-Out
Resort Hotel,0,51,2017,September,27,3,0,2,2,0.0,0,Breakfast,Kota Bogor,Online TA,TA/TO,0,0,0,0,No Deposit,242.0,,0,Personal,97.0,0,0,Check-Out
Resort Hotel,1,71,2017,September,27,3,0,2,3,0.0,0,Breakfast,Kota Denpasar,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,242.0,,0,Personal,110.3,0,2,Canceled
Resort Hotel,1,63,2017,September,27,3,0,2,2,0.0,0,Breakfast,Kota Denpasar,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,,0,Personal,82.0,0,2,Canceled
Resort Hotel,1,62,2017,September,27,3,0,2,2,0.0,0,Breakfast,Kota Denpasar,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,,0,Personal,97.0,0,1,Canceled
Resort Hotel,1,101,2017,September,27,3,0,2,2,0.0,0,Breakfast,Kota Denpasar,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,,0,Personal,73.8,0,1,Canceled
Resort Hotel,0,2,2017,September,27,3,0,2,2,0.0,0,Dinner,Kota Denpasar,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,3.0,,0,Personal,91.5,0,0,Check-Out
Resort Hotel,0,15,2017,September,27,3,0,2,2,0.0,0,Breakfast,Kota Batu,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,,0,Personal,114.5,0,0,Check-Out
Resort Hotel,1,51,2017,September,27,3,0,2,3,0.0,0,Breakfast,Kota Denpasar,Online TA,TA/TO,0,0,0,0,No Deposit,242.0,,0,Personal,110.3,0,0,Canceled
Resort Hotel,0,3,2017,September,27,3,1,2,2,0.0,0,Breakfast,Kota Batu,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,,0,Personal,90.9,1,0,Check-Out
Resort Hotel,1,48,2017,September,27,3,1,2,2,0.0,0,Breakfast,Kota Denpasar,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,,0,Personal,123.0,0,0,Canceled
Resort Hotel,0,2,2017,September,27,3,2,2,1,0.0,0,Breakfast,Kota Denpasar,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,,0,Personal,122.0,0,0,Check-Out
Resort Hotel,0,72,2017,September,27,3,2,2,2,0.0,0,Breakfast,Kabupaten Bandung,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,105.0,,0,Personal,110.7,1,0,Check-Out
Resort Hotel,0,81,2017,September,27,3,2,6,3,0.0,0,Breakfast,Kota Denpasar,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,5.0,,0,Personal,85.86,0,0,Check-Out
Resort Hotel,0,99,2017,September,27,3,2,7,2,0.0,0,Breakfast,Kota Yogyakarta,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,40.0,,0,Contract,58.95,0,0,Check-Out
Resort Hotel,1,368,2017,September,27,3,3,7,2,0.0,0,Breakfast,Kota Denpasar,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,40.0,,0,Contract,55.68,0,0,Canceled
Resort Hotel,0,364,2017,September,27,3,3,7,2,0.0,0,Breakfast,Kabupaten Bangka,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,40.0,,0,Contract,55.68,0,0,Check-Out
Resort Hotel,1,81,2017,September,27,3,3,7,2,0.0,0,Dinner,Kota Denpasar,Direct,Direct,0,0,0,2,No Deposit,250.0,,0,Personal,124.0,0,1,Canceled
Resort Hotel,0,99,2017,September,27,3,3,7,2,0.0,0,Dinner,Kabupaten Bangka,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,115.0,,0,Contract,111.15,0,0,Check-Out
Resort Hotel,0,324,2017,September,27,3,4,10,2,0.0,0,Dinner,Kabupaten Bangka,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,40.0,,0,Contract,134.73,0,0,Check-Out
Resort Hotel,0,69,2017,September,27,3,4,10,2,0.0,0,Breakfast,Kabupaten Bangka,Online TA,TA/TO,0,0,0,1,No Deposit,241.0,,0,Personal,92.45,0,1,Check-Out
Resort Hotel,1,79,2017,September,27,3,6,15,2,1.0,0,Breakfast,Kota Denpasar,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,242.0,,0,Personal,108.73,0,2,Canceled
Resort Hotel,0,12,2017,September,27,3,0,1,2,0.0,0,Breakfast,Kabupaten Bangka,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,,0,Personal,73.8,0,0,Check-Out
Resort Hotel,0,9,2017,September,27,3,0,1,2,0.0,0,Breakfast,Kota Denpasar,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,,0,Personal,98.0,1,2,Check-Out
Resort Hotel,0,1,2017,September,27,3,0,1,2,0.0,0,Breakfast,Kota Batu,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,,0,Personal,131.0,0,1,Check-Out
Resort Hotel,0,21,2017,September,27,3,0,1,2,0.0,0,Breakfast,Kota Denpasar,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,,0,Personal,123.0,0,0,Check-Out
Resort Hotel,0,9,2017,September,27,3,0,1,2,0.0,0,Breakfast,Kabupaten Sleman,Online TA,TA/TO,0,0,0,0,No Deposit,241.0,,0,Personal,94.71,0,0,Check-Out
Resort Hotel,0,109,2017,September,27,3,0,1,2,0.0,0,Breakfast,Kabupaten Magelang,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,,0,Personal,123.0,0,2,Check-Out
Resort Hotel,1,109,2017,September,27,3,0,2,2,0.0,0,Breakfast,Kota Denpasar,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,,0,Personal,123.0,0,1,Canceled
Resort Hotel,1,72,2017,September,27,3,0,2,2,0.0,0,Breakfast,Kota Denpasar,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,,0,Personal,73.8,0,1,Canceled
Resort Hotel,1,63,2017,September,27,3,2,5,2,0.0,0,Breakfast,Kota Denpasar,Online TA,TA/TO,0,0,0,0,No Deposit,242.0,,0,Personal,117.0,0,1,Canceled
Resort Hotel,0,63,2017,September,27,3,2,5,3,0.0,0,Dinner,Kota Batu,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,105.0,,0,Personal,196.54,0,1,Check-Out
Resort Hotel,0,101,2017,September,27,3,2,5,2,1.0,0,Breakfast,Kota Denpasar,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,,0,Personal,99.3,1,2,Check-Out
Resort Hotel,0,102,2017,September,27,3,2,5,2,0.0,0,Breakfast,Kabupaten Bandung,Direct,Direct,0,0,0,0,No Deposit,250.0,,0,Personal,90.95,0,0,Check-Out
Resort Hotel,0,4,2017,September,27,4,2,1,2,0.0,0,Breakfast,Kota Batu,Direct,Direct,0,0,0,0,No Deposit,250.0,,0,Personal,92.67,0,1,Check-Out
Resort Hotel,0,98,2017,September,27,4,2,1,2,0.0,0,Breakfast,Kota Yogyakarta,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,8.0,,0,Personal,71.55,1,0,Check-Out
Resort Hotel,0,92,2017,September,27,4,2,4,1,2.0,0,Breakfast,Kota Yogyakarta,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,241.0,,0,Personal,96.49,0,2,Check-Out
Resort Hotel,0,95,2017,September,27,4,2,4,2,0.0,0,Breakfast,Kota Denpasar,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,,0,Personal,85.8,1,2,Check-Out
Resort Hotel,0,102,2017,September,27,4,2,5,2,0.0,0,Breakfast,Kota Denpasar,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,,0,Personal,96.3,0,1,Check-Out
Resort Hotel,1,26,2017,September,27,4,2,5,2,2.0,0,Breakfast,Kota Denpasar,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,,0,Personal,163.0,0,0,Canceled
Resort Hotel,1,73,2017,September,27,4,2,5,3,0.0,0,Dinner,Kota Denpasar,Direct,Direct,0,0,0,0,No Deposit,250.0,,0,Personal,172.0,0,1,Canceled
Resort Hotel,1,102,2017,September,27,4,2,5,2,0.0,0,Breakfast,Kota Denpasar,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,,0,Personal,110.7,0,1,Canceled
Resort Hotel,0,115,2017,September,27,4,2,5,2,0.0,0,Breakfast,Kota Denpasar,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,134.0,,0,Personal,58.95,0,1,Check-Out
Resort Hotel,0,102,2017,September,27,4,2,5,2,0.0,1,Breakfast,Kota Denpasar,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,,0,Personal,73.8,0,2,Check-Out
Resort Hotel,0,86,2017,September,27,4,2,5,2,0.0,0,Breakfast,Kabupaten Sumedang,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,,0,Personal,97.0,0,2,Check-Out
Resort Hotel,0,78,2017,September,27,4,2,5,2,0.0,1,Dinner,Kota Denpasar,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,,0,Personal,139.0,0,2,Check-Out
Resort Hotel,0,52,2017,September,27,4,2,5,2,0.0,0,Breakfast,Kabupaten Bangka,Online TA,TA/TO,0,0,0,0,No Deposit,147.0,,0,Personal,67.24,0,0,Check-Out
Resort Hotel,0,29,2017,September,27,4,2,6,3,0.0,0,Breakfast,Kota Denpasar,Online TA,TA/TO,0,0,0,0,No Deposit,241.0,,0,Personal,116.5,0,1,Check-Out
Resort Hotel,1,101,2017,September,27,4,2,6,2,0.0,0,Breakfast,Kota Denpasar,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,,0,Personal,96.3,0,1,Canceled
Resort Hotel,0,109,2017,September,27,4,2,6,2,0.0,0,Breakfast,Kota Denpasar,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,,0,Personal,123.0,0,1,Check-Out
Resort Hotel,0,92,2017,September,27,4,4,6,2,0.0,0,Breakfast,Kabupaten Bangka,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,40.0,,0,Contract,71.55,0,1,Check-Out
Resort Hotel,0,92,2017,September,27,4,4,6,2,0.0,0,Breakfast,Kota Denpasar,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,40.0,,0,Contract,71.55,0,1,Check-Out
Resort Hotel,0,79,2017,September,27,4,4,6,2,1.0,0,Dinner,Kota Denpasar,Direct,Direct,0,0,0,1,No Deposit,250.0,,0,Personal,149.0,0,1,Check-Out
Resort Hotel,0,2,2017,September,27,4,0,1,2,2.0,0,Breakfast,Kota Denpasar,Online TA,TA/TO,0,0,0,1,No Deposit,240.0,,0,Personal,163.0,1,0,Check-Out
Resort Hotel,0,30,2017,September,27,4,0,1,2,0.0,0,Breakfast,Kota Denpasar,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,8.0,,0,Contract,79.5,0,0,Check-Out
Resort Hotel,1,51,2017,September,27,4,0,1,1,0.0,0,Dinner,Kota Denpasar,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,,0,Personal,105.0,0,0,Canceled
Resort Hotel,1,36,2017,September,27,4,0,1,1,0.0,0,Breakfast,Kota Denpasar,Direct,Direct,0,0,0,1,No Deposit,250.0,,0,Personal,123.0,0,0,No-Show
Resort Hotel,1,73,2017,September,27,4,0,1,2,0.0,0,Breakfast,Kota Denpasar,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,,0,Personal,73.8,0,2,Canceled
Resort Hotel,1,33,2017,September,27,4,0,1,2,0.0,0,Breakfast,Kota Denpasar,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,,0,Personal,113.0,0,0,Canceled
Resort Hotel,0,32,2017,September,27,4,0,1,4,0.0,0,Full Board,Kota Denpasar,Complementary,Direct,0,0,0,2,No Deposit,,,0,Personal,0.0,0,1,Check-Out
Resort Hotel,0,8,2017,September,27,4,0,1,2,0.0,0,Breakfast,Kota Batu,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,,0,Personal,123.0,0,0,Check-Out
Resort Hotel,0,100,2017,September,27,4,1,1,2,0.0,0,Breakfast,Kota Yogyakarta,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,,0,Family,73.8,1,1,Check-Out
Resort Hotel,0,1,2017,September,27,4,1,1,2,0.0,0,Breakfast,Kota Denpasar,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,,0,Personal,114.5,0,0,Check-Out
Resort Hotel,0,100,2017,September,27,4,1,1,2,0.0,0,Breakfast,Kota Yogyakarta,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,,0,Family,73.8,0,2,Check-Out
Resort Hotel,0,100,2017,September,27,4,1,1,2,0.0,0,Breakfast,Kota Yogyakarta,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,,0,Family,73.8,0,1,Check-Out
Resort Hotel,0,9,2017,September,28,5,1,0,2,0.0,0,Breakfast,Kota Batu,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,,0,Personal,88.2,0,1,Check-Out
Resort Hotel,1,5,2017,September,28,5,1,0,2,0.0,0,Breakfast,Kota Denpasar,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,,0,Personal,97.0,0,0,Canceled
Resort Hotel,0,0,2017,September,28,5,1,0,2,0.0,0,Breakfast,Kota Batu,Online TA,TA/TO,0,0,0,1,No Deposit,306.0,,0,Personal,85.1,0,0,Check-Out
Resort Hotel,0,9,2017,September,28,5,1,0,1,0.0,0,Breakfast,Kabupaten Bandung,Online TA,TA/TO,0,0,0,0,No Deposit,184.0,,0,Personal,89.0,0,0,Check-Out
Resort Hotel,0,2,2017,September,28,5,1,0,1,0.0,0,Breakfast,Kota Denpasar,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,,0,Personal,80.1,0,0,Check-Out
Resort Hotel,0,2,2017,September,28,5,1,0,2,0.0,0,Breakfast,Kota Denpasar,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,,0,Personal,98.0,0,0,Check-Out
Resort Hotel,0,9,2017,September,28,5,1,0,1,0.0,0,Breakfast,Kabupaten Bandung,Online TA,TA/TO,0,0,0,0,No Deposit,184.0,,0,Personal,101.0,1,0,Check-Out
Resort Hotel,1,5,2017,September,28,5,1,0,2,0.0,0,Breakfast,Kota Denpasar,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,,0,Personal,97.0,0,0,Canceled
